plant_id,plant_name,soil_moisture,temperature,last_watered,botanist_email,botanist_forename,botanist_surname,botanist_phone,country_name,scientific_name,images,recording_taken
1,Venus flytrap,92.04169058956693,12.02068200508562,"Tue, 26 Nov 2024 13:54:32 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,US,,,2024-11-26 16:09:17
2,Corpse flower,93.53530476706096,9.101169543797823,"Tue, 26 Nov 2024 14:10:54 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,NG,,,2024-11-26 16:09:18
3,Rafflesia arnoldii,95.44387676849183,9.97523102836926,"Tue, 26 Nov 2024 14:50:16 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,BR,,,2024-11-26 16:09:18
4,Black bat flower,89.68774386083498,11.314626217035865,"Tue, 26 Nov 2024 13:16:25 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,SV,,,2024-11-26 16:09:19
5,Pitcher plant,95.85435182781457,11.168374969403775,"Tue, 26 Nov 2024 14:56:18 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,IN,['Sarracenia catesbaei'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:19
6,Wollemi pine,91.44939347265986,10.95302340241744,"Tue, 26 Nov 2024 13:35:35 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,CA,['Wollemia nobilis'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:21
8,Bird of paradise,90.07790693638171,11.500142156664788,"Tue, 26 Nov 2024 13:23:01 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,CI,"[""Heliconia schiedeana 'Fire and Ice'""]","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:22
9,Cactus,93.2369650705314,10.585021506004987,"Tue, 26 Nov 2024 14:12:43 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,DE,['Pereskia grandifolia'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:22
10,"Dragon tree,",89.32779121022179,13.938425200595752,"Tue, 26 Nov 2024 13:04:57 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,HR,,,2024-11-26 16:09:24
11,Asclepias Curassavica,91.46005886516853,9.445490755607155,"Tue, 26 Nov 2024 13:37:24 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,US,['Asclepias curassavica'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/medium/51757177616_7ca0baaa87_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/regular/51757177616_7ca0baaa87_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/small/51757177616_7ca0baaa87_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1007_asclepias_curassavica/thumbnail/51757177616_7ca0baaa87_b.jpg'}",2024-11-26 16:09:24
